Price,Close,High,Low,Open,Volume,Name
Ticker,META,META,META,META,META,
Date,,,,,,
2012-05-18,37.93232345581055,44.649609624651944,37.70411479415053,41.72257890337034,573576400,META
2012-05-21,33.76502990722656,36.3745529135857,32.74305104049431,36.24556407696098,168192700,META
2012-05-22,30.758621215820312,33.3284545591225,30.699088930463112,32.35608569746687,101786600,META
2012-05-23,31.750835418701172,32.24694222211838,31.115819315926274,31.12574167909429,73600000,META
2012-05-24,32.77281188964844,32.95141062896485,31.52262449942779,32.69343677494906,50237200,META
2012-05-25,31.661537170410156,32.69344026667106,30.867767013668946,32.643830341561234,37149800,META
2012-05-29,28.615442276000977,31.44325160231992,28.426921149580412,31.234885748381952,78063400,META
2012-05-30,27.97050666809082,29.31991610655396,27.643076200136832,28.47653591720109,57267900,META
2012-05-31,29.369524002075195,29.438978653790837,26.62109177634527,28.32769854884861,111639200,META
2012-06-01,27.504159927368164,28.923025658392614,27.17672951963154,28.665049898888423,41855500,META
2012-06-04,26.69054412841797,27.434704291250238,26.234126803612813,26.988209329049173,35230300,META
2012-06-05,25.668569564819336,27.543852875095975,25.549503086668018,26.492106870165436,42473400,META
2012-06-06,26.601247787475586,26.95844531192051,25.321293145710232,25.86700990361453,61489200,META
2012-06-07,26.105140686035156,27.13704379377147,25.946386652921472,26.789768636648773,26159500,META
2012-06-08,26.88899040222168,27.54385126246974,26.234129541973623,26.343271757016726,38034000,META
2012-06-11,26.7996883392334,27.851434177303897,26.63101195923648,26.968364719230312,28219600,META
2012-06-12,27.18665313720703,27.553773013731085,26.750078609245342,27.266030152063948,15816800,META
2012-06-13,27.057666778564453,27.881204035069292,26.88899038181058,27.444629497736198,17102800,META
2012-06-14,28.069726943969727,28.099492144261873,27.166810720992604,27.434708878606777,16855000,META
2012-06-15,29.77633285522461,29.865632238098286,28.129258292772775,28.288012330659885,43563800,META
2012-06-18,31.165430068969727,31.830215171444156,29.18100280247055,29.726719543758897,42978900,META
2012-06-19,31.661537170410156,31.929435307996815,30.46095957177691,31.294419182603846,30849000,META
2012-06-20,31.35395050048828,31.681380916568653,30.90745361833447,31.671458553354427,15553600,META
2012-06-21,31.592082977294922,32.24694383924597,31.264652546319397,31.42340657997436,21875300,META
2012-06-22,32.792659759521484,33.18954672606421,31.810370384069905,32.15764364104882,74834000,META
2012-06-25,31.810373306274414,32.76289757148539,31.304342188197037,32.60414352728356,24352900,META
2012-06-26,32.8422737121582,33.17962653959707,32.24694697432259,32.43546622480501,24858700,META
2012-06-27,31.979047775268555,32.64383293656999,31.651617323021686,32.20725647691085,28568000,META
2012-06-28,31.115816116333008,31.939351357125503,30.65939692002351,31.71114270521929,17713300,META
2012-06-29,30.85784339904785,31.740912899181463,30.520490622986127,31.671458249844743,19526900,META
2012-07-02,30.530410766601562,31.48293484682518,30.312122578844146,31.00667280671337,14122000,META
2012-07-03,30.957067489624023,31.195198545082988,30.560180504695012,30.669324614800228,8763600,META
2012-07-05,31.224960327148438,31.383714346748075,30.778465356710896,31.076128670335923,10032100,META
2012-07-06,31.482938766479492,31.651615163248263,31.01659903070577,31.195197791107685,10945600,META
2012-07-09,31.91951560974121,32.62399027287293,31.74091871834573,31.850060947671146,17785200,META
2012-07-10,31.224960327148438,32.227096258681904,30.917374650736285,32.177486337243465,14269500,META
2012-07-11,30.728858947753906,31.31426520768265,30.312129099880863,31.234888183921,13030300,META
2012-07-12,30.570100784301758,31.155506965411977,30.36173683466792,30.460958574135244,11300700,META
2012-07-13,30.480802536010742,30.82807769074909,30.32204850398704,30.798312492555485,8108300,META
2012-07-16,28.03003692626953,30.262517743406043,27.99034747001056,30.262517743406043,24672100,META
2012-07-17,27.871280670166016,28.36738747897282,26.938599339709985,28.25824337543619,30438600,META
2012-07-18,28.883342742919922,29.061941519945485,27.93081656294941,28.089570610861575,16841800,META
2012-07-19,28.774192810058594,29.270299582645812,28.40707296564531,29.18100021218034,13685100,META
2012-07-20,28.53606605529785,29.240536869361556,28.49637659915472,28.774197114664346,11869100,META
2012-07-23,28.526142120361328,28.7741955301036,27.79190425462388,27.901048360509627,12390700,META
2012-07-24,28.228477478027344,29.220691071033617,27.8812023419757,28.59559544764121,11539800,META
2012-07-25,29.111547470092773,29.26037913309993,27.861358094337575,28.168943783552,17230200,META
2012-07-26,26.64093780517578,28.01019185697648,26.52187133034652,27.533929742654273,64597400,META
2012-07-27,23.525381088256836,24.34892010696139,22.10651737828261,23.009431508492142,123102300,META
2012-07-30,22.969745635986328,23.852817072037546,22.850681057696796,23.813127617609467,29285900,META
2012-07-31,21.540958404541016,23.18803487891733,21.441738549064343,23.18803487891733,56179400,META
2012-08-01,20.717418670654297,21.411968932075936,20.677731111642974,21.332591921556084,44604400,META
2012-08-02,19.883962631225586,20.677732801285597,19.66567441508606,20.608278147967518,56374500,META
2012-08-03,20.925785064697266,21.98745331842821,19.745050345759434,20.201469587805704,80647000,META
2012-08-06,21.749324798583984,21.977533499779813,21.134151460037092,21.223450846156762,27778900,META
2012-08-07,20.558664321899414,22.275195222336905,20.340378019573706,22.027141831854298,36782900,META
2012-08-08,20.558664321899414,20.985316456329045,20.0625575409342,20.548741959180447,29537400,META
2012-08-09,20.84640884399414,21.005162875302737,20.44952376572265,20.58843306999334,15610700,META
2012-08-10,21.640180587768555,21.650102952015278,20.96547495897106,21.243295480386934,25794700,META
2012-08-13,21.43181800842285,22.27520009921102,21.23337449559119,21.977534829963528,24973100,META
2012-08-14,20.221311569213867,21.43181332655207,20.092324638799347,21.24329221979499,39308800,META
2012-08-15,21.034929275512695,21.243293225080414,20.241157252523244,20.479288291670898,47861100,META
2012-08-16,19.71528434753418,20.320533334619466,19.53668560323134,20.280845776161716,157565300,META
2012-08-17,18.90166664123535,19.923647239604183,18.852056722648268,19.85419259658343,129293400,META
2012-08-20,19.85419464111328,19.973259214982054,18.604005260507503,18.901668587676713,101186600,META
2012-08-21,19.010812759399414,19.824427622928415,18.94135810897581,19.42754255443833,70640600,META
2012-08-22,19.288633346557617,19.37793272396045,18.81236936957675,19.209256332477022,49892200,META
2012-08-23,19.288633346557617,19.576374312913288,19.209256332477022,19.34816563399374,32813700,META
2012-08-24,19.258867263793945,19.526765410013017,19.100113227330215,19.368011373549287,29622200,META
2012-08-27,19.00088882446289,19.37793102771432,18.951278904691605,19.33824157789959,20704000,META
2012-08-28,19.189411163330078,19.229098723206544,18.80244846517259,18.951280126579526,25417000,META
2012-08-29,18.95128059387207,19.229099197349417,18.9215135038578,19.169566909818172,16124700,META
2012-08-30,18.941356658935547,19.298554139480306,18.911589571391104,19.119955399207925,30647500,META
2012-08-31,17.919374465942383,18.554392363988644,17.88960927349287,18.534547640690985,58764200,META
2012-09-04,17.591947555541992,18.127743834795787,17.41334879579073,17.939222711447524,46622400,META
2012-09-05,18.435327529907227,18.604003907703625,18.038442491708977,18.127741861865726,60781800,META
2012-09-06,18.8123722076416,19.110037474723068,18.574241129474977,18.594085859113257,46066500,META
2012-09-07,18.83221435546875,19.268788885170633,18.63377276378413,18.95128082447738,36371700,META
2012-09-10,18.663537979125977,19.0505025843931,18.405562206447,18.911591388336838,24797800,META
2012-09-11,19.278709411621094,19.427541064327183,18.70322563332631,18.772680278422673,50508200,META
2012-09-12,20.767030715942383,20.995239387162197,20.12209226173553,20.598354330150077,121584000,META
2012-09-13,20.548744201660156,21.312749181921596,20.44952434863702,20.796797619212775,65041600,META
2012-09-14,21.828699111938477,21.908076123918363,20.737263777842102,20.96547245072212,72819800,META
2012-09-17,21.352439880371094,22.5728623115895,21.332595151612054,22.493485289050845,50667600,META
2012-09-18,21.699708938598633,21.80885113097134,21.20360221464116,21.431810853462327,36760500,META
2012-09-19,23.10865592956543,23.188032942817593,21.600490785277056,21.818777098596186,78782800,META
