Price,Close,High,Low,Open,Volume,Name
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,
Date,,,,,,
2011-05-31,0.4593091607093811,0.45953839493591275,0.44464062921974407,0.4556420414981296,1200716000,NVDA
2011-06-01,0.43868157267570496,0.4579340531765114,0.43776477227719884,0.4572464597082115,762208000,NVDA
2011-06-02,0.43661874532699585,0.44257785164846736,0.4313472323998965,0.4393691189044846,607592000,NVDA
2011-06-03,0.4230961203575134,0.435472718144983,0.4210333677207581,0.43157639242982715,549300000,NVDA
2011-06-06,0.41415756940841675,0.4263049626686855,0.41369915555826786,0.42240863619864555,435988000,NVDA
2011-06-07,0.4139283299446106,0.4196582293978673,0.4120947566551053,0.4173662696165646,433956000,NVDA
2011-06-08,0.40269771218299866,0.414386718041855,0.3994889794056697,0.41186557866604395,569288000,NVDA
2011-06-09,0.39811378717422485,0.4033853000842287,0.38367443522849803,0.4024685271095826,741632000,NVDA
2011-06-10,0.3923839032649994,0.4013225630710437,0.3891751430824515,0.3988013963077786,493548000,NVDA
2011-06-13,0.38963353633880615,0.397426188486408,0.38688316280688534,0.3923838825484118,574760000,NVDA
2011-06-14,0.39284223318099976,0.4015516848185701,0.3912378669819951,0.39307144006184874,534576000,NVDA
2011-06-15,0.38436204195022583,0.38986273463349613,0.37634015519345554,0.3875707747950808,935916000,NVDA
2011-06-16,0.3710686266422272,0.39055031177948357,0.3655679341881111,0.3845912055189284,1024908000,NVDA
2011-06-17,0.3623591363430023,0.37565253425165396,0.3508993388241431,0.3754233273723518,1467884000,NVDA
2011-06-20,0.35800445079803467,0.36671390302354206,0.35525407733143216,0.3591504306350142,745960000,NVDA
2011-06-21,0.3657970726490021,0.36854744588920024,0.3559416413977914,0.35937958062572684,704276000,NVDA
2011-06-22,0.3607548475265503,0.3680891140471507,0.3600672540634869,0.3632760144503434,651720000,NVDA
2011-06-23,0.37152695655822754,0.37404809531279526,0.35296204858115754,0.35617080789011984,744024000,NVDA
2011-06-24,0.3607548475265503,0.37290224096627633,0.35846288753121774,0.36969350790173816,529052000,NVDA
2011-06-27,0.35319140553474426,0.3630468398569194,0.34058559711535136,0.3607548796574517,1142152000,NVDA
2011-06-28,0.3552541732788086,0.3593797072706259,0.3506702526928609,0.3531914199440609,692200000,NVDA
2011-06-29,0.3607548475265503,0.36442199444800966,0.34516951409382546,0.35754608713969377,960544000,NVDA
